"sample","n","c","Sorensen_beta","Kingdom","Phylum","Class","Order","Family","Genus","Genus_count","genus_richness","total_count","proportion_genus","pi_lnpi","Shannon_alpha"
"Sample1",9,9,0.529411764705882,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",20015,9,64341,0.311076918294711,-0.363249205943381,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",17110,9,64341,0.265926858457282,-0.352229159215275,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",10980,9,64341,0.170653238215135,-0.301735681383166,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",33,9,64341,0.000512892246001772,-0.00388538688851599,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",31,9,64341,0.00048180786745621,-0.00368003169514238,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",1078,9,64341,0.0167544800360579,-0.0685105699286861,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",15001,9,64341,0.233148381280987,-0.339482741312869,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",25,9,64341,0.000388554731819524,-0.00305135004050095,1.44306626183252
"Sample1",9,9,0.529411764705882,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",68,9,64341,0.00105686887054911,-0.00724213542498615,1.44306626183252
"Sample2",17,17,0.80952380952381,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",12524,17,197562,0.0633927577165649,-0.174862941413498,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",2620,17,197562,0.0132616596309007,-0.05732853853651,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",3720,17,197562,0.0188295319950193,-0.0747970920619128,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",12179,17,197562,0.0616464704750914,-0.171767983515747,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides",35,17,197562,0.000177159575221956,-0.00153038584688211,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",63929,17,197562,0.323589556696126,-0.36509942006108,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",23312,17,197562,0.117998400502121,-0.252172518480003,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",36279,17,197562,0.183633492270781,-0.31122450295901,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",7821,17,197562,0.0395875725088833,-0.127837774054281,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",28281,17,197562,0.143149998481489,-0.278263879287487,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",2150,17,197562,0.0108826596207773,-0.0491959836736065,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",2282,17,197562,0.0115508043044715,-0.0515281404012118,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",50,17,197562,0.000253085107459937,-0.00209599637903088,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",6,17,197562,3.03702128951924e-05,-0.000315912420472015,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",330,17,197562,0.00167036170923558,-0.0106814872171995,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",1960,17,197562,0.00992093621242951,-0.0457663500690196,1.97776959800236
"Sample2",17,17,0.80952380952381,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Gardnerella",84,17,197562,0.000425182980532694,-0.00330069162540575,1.97776959800236
"Sample3",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",41835,14,135262,0.309288639824932,-0.362944134702464,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",1158,14,135262,0.00856116278038178,-0.04075558029736,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",3026,14,135262,0.0223713977318094,-0.0850106854964768,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",16934,14,135262,0.125194067809141,-0.260139526993713,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",64,14,135262,0.000473155801333708,-0.00362252142786467,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",29675,14,135262,0.219389037571528,-0.332793139311591,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",17015,14,135262,0.125792905620204,-0.260783578478293,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",13447,14,135262,0.0994144696958495,-0.229494088669431,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",7550,14,135262,0.0558175984385859,-0.161070950208562,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",1426,14,135262,0.0105425026984667,-0.0479930600698043,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",2787,14,135262,0.0206044565362038,-0.0799916079097003,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",220,14,135262,0.00162647306708462,-0.0104441387944953,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",107,14,135262,0.000791057355354793,-0.00564984244554848,1.88188049618921
"Sample3",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",18,14,135262,0.000133075069125105,-0.00118764138390897,1.88188049618921
"Sample4",18,18,0.837209302325581,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",44760,18,163195,0.274273108857502,-0.354808174516164,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",465,18,163195,0.00284935200220595,-0.0166990937857364,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",1748,18,163195,0.0107111124728086,-0.0485906781837471,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",11032,18,163195,0.0676001102974969,-0.182124544065202,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",724,18,163195,0.00443641042924109,-0.0240360710596231,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",9389,18,163195,0.0575323998897025,-0.164278418150233,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Clostridioides",17,18,163195,0.000104169858145164,-0.000955184237111669,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",14801,18,163195,0.0906951806121511,-0.217691203287904,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",58914,18,163195,0.361003707221422,-0.367814782717754,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",14010,18,163195,0.0858482183890438,-0.210772351890932,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",5656,18,163195,0.0346579245687674,-0.11652787477467,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",121,18,163195,0.000741444284444989,-0.0053435226270482,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",740,18,163195,0.00453445264867183,-0.0244681372849436,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",601,18,163195,0.00368271086736726,-0.0206383026177326,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",33,18,163195,0.000202212077575906,-0.00172005506441133,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Cutibacterium",50,18,163195,0.00030638193572107,-0.00247883761094389,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia",130,18,163195,0.000796593032874782,-0.00568382402851315,1.76489126992204
"Sample4",18,18,0.837209302325581,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium",4,18,163195,2.45105548576856e-05,-0.000260214019367457,1.76489126992204
"Sample5",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",50205,14,92189,0.544587749080693,-0.33096024018769,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",95,14,92189,0.00103049170725358,-0.00708743260554004,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",1025,14,92189,0.0111184631572096,-0.0500236135560943,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",3805,14,92189,0.041273904695788,-0.131561595895114,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",8475,14,92189,0.091930707568148,-0.21941287347326,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",662,14,92189,0.00718090010738808,-0.035447296509337,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",4656,14,92189,0.0505049409365543,-0.150791799487278,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",10330,14,92189,0.112052414062415,-0.245259039158005,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus",17,14,92189,0.000184403779192745,-0.00158557427450932,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus",8933,14,92189,0.0968987623252232,-0.226170289992454,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Rosenbergiella",632,14,92189,0.00685548167351853,-0.0341588544829822,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces",174,14,92189,0.00188742691644339,-0.0118389623354187,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Finegoldia",384,14,92189,0.00416535595353025,-0.0228301224754507,1.57314728654319
"Sample5",14,14,0.717948717948718,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Peptoniphilus",2796,14,92189,0.0303289980366421,-0.106019592110054,1.57314728654319
"Sample6",10,10,0.571428571428571,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",206,10,74180,0.00277702884874629,-0.0163466295301203,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",18732,10,74180,0.252520895119978,-0.34753473053147,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus",53120,10,74180,0.716095982744675,-0.239133856475739,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella",115,10,74180,0.0015502830951739,-0.0100292739027802,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",87,10,74180,0.00117282286330547,-0.00791460947314428,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1",124,10,74180,0.00167160959827447,-0.0106882187570016,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",113,10,74180,0.00152332165004044,-0.00988157737467552,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Anaerococcus",32,10,74180,0.000431383122135346,-0.00334257813890271,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1",31,10,74180,0.000417902399568617,-0.00325139042927085,0.731635817497491
"Sample6",10,10,0.571428571428571,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Melissococcus",1620,10,74180,0.0218387705581019,-0.0835129528843864,0.731635817497491
"Sample_test",3,3,0.214285714285714,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",50000,3,150000,0.333333333333333,-0.366204096222703,1.09861228866811
"Sample_test",3,3,0.214285714285714,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",50000,3,150000,0.333333333333333,-0.366204096222703,1.09861228866811
