Kingdom	Phylum	Class	Order	Family	Genus	ASV	sample_demo	sample1	sample2	sample3	sample4	sample5	sample6
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	ASV_1	12524	19581	12524	41484	37453	39747	206
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	ASV_2	2620	16971	2620	1158	465	95	18732
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	ASV_3	3720	10980	3720	3026	1748	1025	52655
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella	ASV_4	0	0	0	0	0	0	115
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	ASV_5	0	434	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	ASV_6	12179	33	12179	16934	11032	3805	87
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	ASV_7	0	0	0	64	724	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	ASV_8	0	31	0	0	8333	7544	124
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	ASV_9	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ASV_10	35	0	35	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	ASV_11	0	0	0	0	17	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV_12	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	ASV_13	1072	0	1072	9618	34958	2991	113
Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	ASV_14	0	0	0	0	0	0	32
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	ASV_15	0	0	0	0	0	17	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	ASV_16	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV_17	43154	0	43154	11663	2092	578	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerococcus	ASV_18	36187	0	36187	13447	14010	10330	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	ASV_19	0	0	0	351	7307	10458	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	ASV_20	0	841	0	0	0	0	3687
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	ASV_21	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	ASV_22	18413	99	18413	16494	12156	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	ASV_23	0	0	0	0	0	0	0
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	ASV_24	7821	0	7821	7550	5656	8933	0
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Rosenbergiella	ASV_25	28281	15001	28281	1426	121	632	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	ASV_26	0	0	0	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella	ASV_27	167	0	167	2397	9942	886	0
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	ASV_28	0	0	0	0	0	0	0
